,bhk,type,area,price,region
30459,1,Studio Apartment,400,9000000.0,Andheri East
30460,1,Apartment,500,12500000.0,Andheri West
30461,2,Apartment,850,28000000.0,Parel
30464,2,Apartment,956,15900000.0,Jogeshwari East
30465,2,Apartment,944,15600000.0,Jogeshwari East
30466,3,Apartment,1200,40000000.0,Parel
30468,2,Apartment,1150,34000000.0,Parel
30469,2,Villa,1200,4200000.0,Neral
30470,2,Apartment,1090,18800000.0,Thane West
30472,1,Apartment,500,10000000.0,Chembur
30473,2,Apartment,1000,30000000.0,Parel
30477,2,Apartment,670,12500000.0,Goregaon East
30479,2,Apartment,544,7000000.0,Thane West
30480,1,Apartment,835,8500000.0,Thane West
30481,1,Apartment,525,6000000.0,Thane West
30482,2,Apartment,700,6500000.0,Thane West
30488,2,Apartment,925,18000000.0,Andheri East
30489,2,Apartment,1079,16500000.0,Andheri East
30490,2,Apartment,1120,15000000.0,Andheri East
30491,1,Apartment,585,9500000.0,Andheri East
30494,1,Apartment,400,4900000.0,Malad West
30495,4,Apartment,1800,60000000.0,Malad West
30501,1,Apartment,590,10000000.0,Andheri East
30502,2,Apartment,790,14900000.0,Andheri East
30505,1,Apartment,598,13500000.0,Andheri East
30506,1,Apartment,550,12900000.0,Andheri East
30507,2,Apartment,790,17000000.0,Andheri East
30509,4,Apartment,2500,55000000.0,Goregaon East
30511,2,Apartment,859,19500000.0,Malad East
30512,3,Apartment,1650,55000000.0,Andheri West
30513,2,Apartment,850,28500000.0,Andheri West
30514,1,Apartment,426,5080000.0,Malad West
30515,3,Apartment,1641,16500000.0,Panvel
30516,2,Apartment,1300,16399999.999999998,Koper Khairane
30521,1,Apartment,426,5150000.0,Malad West
30522,1,Apartment,426,5100000.0,Malad West
30523,1,Apartment,500,1850000.0,Badlapur East
30526,2,Apartment,1000,26000000.0,Andheri East
30539,2,Apartment,940,25000000.0,Powai
30540,1,Apartment,580,13500000.0,Powai
30546,2,Apartment,935,33500000.0,Andheri West
30547,1,Apartment,705,5900000.0,other
30548,1,Apartment,620,5550000.0,Kamothe
30549,3,Apartment,1250,12500000.0,Thane West
30560,2,Apartment,902,23800000.0,Powai
30561,2,Apartment,1070,6100000.0,Ulwe
30562,1,Apartment,580,8500000.0,Airoli
30565,1,Studio Apartment,375,4000000.0,Airoli
30568,2,Apartment,999,29900000.000000004,Juhu
30570,2,Apartment,1060,24500000.0,Powai
