,bhk,type,locality,area,price,region,status,age
0,3,Apartment,Lak And Hanware The Residency Tower,685,250.0,Central Mumbai,Ready to move,New
8,1,Apartment,Shubh Shreeji Heights,396,29.84,Outskirts,Ready to move,New
17,3,Apartment,Aurum Q Island R4 AND R5,1259,280.0,Navi Mumbai & Beyond,Ready to move,New
46,1,Apartment,Qualitas QN Greens Phase 1,386,27.96,Navi Mumbai & Beyond,Ready to move,New
48,3,Apartment,Today Imperia,1625,145.0,Navi Mumbai & Beyond,Ready to move,New
94,2,Apartment,Qualitas QN Greens Phase 1,614,44.44,Navi Mumbai & Beyond,Ready to move,New
131,2,Apartment,Shubh Shreeji Heights,486,36.0,Outskirts,Ready to move,New
133,1,Apartment,Shubh Shreeji Heights,361,28.0,Outskirts,Ready to move,New
135,1,Apartment,Shubh Shreeji Heights,377,28.2,Outskirts,Ready to move,New
137,1,Apartment,Shubh Shreeji Heights,382,28.61,Outskirts,Ready to move,New
142,1,Apartment,A Plus Golden Veda,345,19.91,Outskirts,Ready to move,New
143,1,Apartment,A Plus Golden Veda,352,20.5,Outskirts,Ready to move,New
144,1,Apartment,A Plus Golden Veda,294,16.0,Outskirts,Ready to move,New
145,1,Apartment,A Plus Golden Veda,366,21.28,Outskirts,Ready to move,New
146,1,Apartment,A Plus Golden Veda,333,19.33,Outskirts,Ready to move,New
147,1,Apartment,A Plus Golden Veda,358,20.89,Outskirts,Ready to move,New
148,1,Apartment,A Plus Golden Veda,372,21.67,Outskirts,Ready to move,New
149,1,Apartment,A Plus Golden Veda,380,22.06,Outskirts,Ready to move,New
207,2,Apartment,Aurum Q Island R4 AND R5,725,170.0,Navi Mumbai & Beyond,Ready to move,New
209,4,Apartment,Aurum Q Island R4 AND R5,1492,340.0,Navi Mumbai & Beyond,Ready to move,New
211,2,Apartment,Aurum Q Island R4 AND R5,715,168.0,Navi Mumbai & Beyond,Ready to move,New
213,1,Apartment,Aurum Q Island R4 AND R5,505,108.0,Navi Mumbai & Beyond,Ready to move,New
301,1,Apartment,Reputed Builder Wild Wood Park 2,651,20.0,Central Mumbai,Ready to move,Resale
311,1,Apartment,Reputed Builder Wild Wood Park 2,650,20.0,Central Mumbai,Ready to move,Resale
312,4,Apartment,Reputed Builder Emerald Apartments,2100,325.0,Central Mumbai,Ready to move,Resale
314,3,Apartment,Bhoomi New vandana CHSL,1530,285.0,Western Suburbs,Ready to move,Resale
323,1,Apartment,Qualitas QN Heights,550,25.0,Navi Mumbai & Beyond,Ready to move,Resale
326,4,Apartment,SD Epsilon,1500,560.0,Western Suburbs,Ready to move,Resale
330,1,Apartment,Lodha Codename Crown Jewel,453,85.0,Outskirts,Ready to move,Resale
335,2,Apartment,HDIL Galaxy Apartments,920,110.00000000000001,Eastern Suburbs,Ready to move,Resale
337,1,Apartment,Shreeji Bhakti Park,570,55.0,Outskirts,Ready to move,Resale
340,2,Apartment,HG Sai Tulip,500,10.0,Navi Mumbai & Beyond,Ready to move,Resale
342,1,Apartment,Proviso SaiProviso County,677,30.0,Navi Mumbai & Beyond,Ready to move,Resale
381,1,Apartment,Vrindavan Nagari,555,15.5,Navi Mumbai & Beyond,Ready to move,Resale
386,1,Apartment,DB Ozone,729,51.0,Outskirts,Ready to move,Resale
387,2,Apartment,Lodha Aqua,1020,110.00000000000001,Outskirts,Ready to move,Resale
388,2,Apartment,Lodha Aqua,1035,114.99999999999999,Outskirts,Ready to move,Resale
389,2,Apartment,Man Opus,1070,89.0,Outskirts,Ready to move,Resale
390,2,Apartment,Man Opus,1070,93.0,Outskirts,Ready to move,Resale
391,2,Apartment,Man Opus,1050,83.0,Outskirts,Ready to move,Resale
392,2,Apartment,Man Opus,1050,80.0,Outskirts,Ready to move,Resale
393,2,Apartment,Lodha Aqua,1021,111.00000000000001,Outskirts,Ready to move,Resale
394,2,Apartment,DB Ozone,1045,79.0,Outskirts,Ready to move,Resale
395,2,Apartment,DB Ozone,1039,80.0,Outskirts,Ready to move,Resale
396,2,Apartment,Lodha Aqua,1080,113.99999999999999,Outskirts,Ready to move,Resale
397,2,Apartment,Man Opus,750,73.0,Outskirts,Ready to move,Resale
398,1,Apartment,Man Opus,650,62.0,Outskirts,Ready to move,Resale
399,2,Apartment,Man Opus,1050,79.0,Outskirts,Ready to move,Resale
400,2,Apartment,Man Opus,1050,80.0,Outskirts,Ready to move,New
401,2,Apartment,Man Opus,1020,85.0,Outskirts,Ready to move,Resale
402,2,Apartment,Lodha Mira Road Project 1,785,93.0,Outskirts,Ready to move,Resale
403,2,Apartment,Lodha Mira Road Project 1,765,91.0,Outskirts,Ready to move,Resale
404,1,Apartment,Lodha Mira Road Project 1,850,114.99999999999999,Outskirts,Ready to move,Resale
405,2,Apartment,Lodha Mira Road Project 1,850,111.00000000000001,Outskirts,Ready to move,Resale
407,1,Apartment,Man Opus,620,60.0,Outskirts,Ready to move,Resale
408,2,Apartment,Lodha Mira Road Project 1,856,118.0,Outskirts,Ready to move,Resale
409,2,Apartment,Man Opus,750,70.0,Outskirts,Ready to move,Resale
410,2,Apartment,Lodha Mira Road Project 1,768,90.0,Outskirts,Ready to move,Resale
411,2,Apartment,Lodha Mira Road Project 1,856,119.0,Outskirts,Ready to move,Resale
412,1,Apartment,Lodha Mira Road Project 1,756,73.0,Outskirts,Ready to move,Resale
413,2,Apartment,Lodha Mira Road Project 1,850,105.0,Outskirts,Ready to move,Resale
414,1,Apartment,Lodha Mira Road Project 1,675,74.0,Outskirts,Ready to move,Resale
420,1,Apartment,Reputed Builder Vrindavan Society,520,21.5,Outskirts,Ready to move,Resale
423,2,Apartment,Man Opus,870,95.0,Outskirts,Ready to move,Resale
424,3,Apartment,Lodha Aqua,1665,199.0,Outskirts,Ready to move,Resale
425,2,Apartment,Man Opus,1050,90.0,Outskirts,Ready to move,Resale
426,1,Apartment,Lodha Mira Road Project 1,756,77.0,Outskirts,Ready to move,Resale
427,1,Apartment,Lodha Mira Road Project 1,785,76.0,Outskirts,Ready to move,Resale
429,1,Apartment,Adhiraj Gardens,600,30.0,Navi Mumbai & Beyond,Ready to move,Resale
433,2,Apartment,Lodha Aqua,810,118.0,Outskirts,Ready to move,Resale
434,3,Apartment,Lodha Aqua,1200,185.0,Outskirts,Ready to move,Resale
435,2,Apartment,Man Opus,856,79.0,Outskirts,Ready to move,Resale
436,2,Apartment,Man Opus,856,80.0,Outskirts,Ready to move,Resale
437,1,Apartment,DB Ozone,629,55.0,Outskirts,Ready to move,Resale
438,1,Apartment,DB Ozone,620,56.0,Outskirts,Ready to move,Resale
439,2,Apartment,DB Ozone,850,78.0,Outskirts,Ready to move,Resale
440,2,Apartment,DB Ozone,850,79.0,Outskirts,Ready to move,Resale
441,2,Apartment,Lodha Aqua,1350,215.0,Outskirts,Ready to move,Resale
442,2,Apartment,Man Opus,1070,95.0,Outskirts,Ready to move,Resale
443,2,Apartment,Lodha Mira Road Project 1,789,98.0,Outskirts,Ready to move,Resale
444,1,Apartment,Man Opus,659,59.0,Outskirts,Ready to move,Resale
447,1,Apartment,Man Opus,656,61.0,Outskirts,Ready to move,Resale
448,2,Apartment,Man Opus,850,78.0,Outskirts,Ready to move,Resale
449,2,Apartment,Lodha Aqua,825,110.00000000000001,Outskirts,Ready to move,Resale
456,2,Apartment,Sheth Auris Serenity Tower 2,1233,275.0,Western Suburbs,Ready to move,Resale
458,2,Apartment,Reputed Builder Nutan Gangotri,430,125.0,Central Mumbai,Ready to move,Resale
459,2,Apartment,Proviso Heights,1070,81.0,Navi Mumbai & Beyond,Ready to move,Resale
461,1,Apartment,Munish Glorious,535,27.21,Navi Mumbai & Beyond,Ready to move,Resale
462,3,Apartment,Reputed Builder AVANTI APARTMENT,1180,475.0,Central Mumbai,Ready to move,Resale
463,2,Apartment,BREDCO Hill View Park,1090,180.0,Western Suburbs,Ready to move,Resale
464,2,Apartment,Lodha Mira Road Project 1,850,114.99999999999999,Outskirts,Ready to move,Resale
467,3,Apartment,Konark Alpha Residency,1525,325.0,Western Suburbs,Ready to move,Resale
468,2,Apartment,Reputed Builder Bharti Apartment,965,85.0,Western Suburbs,Ready to move,Resale
469,3,Apartment,GHP Powai Vihar Complex,1300,229.99999999999997,Central Mumbai,Ready to move,Resale
471,1,Apartment,Kohinoor Royal Residency Park,655,50.0,Eastern Suburbs,Ready to move,Resale
472,2,Apartment,Harsh Vista,950,340.0,Central Mumbai,Ready to move,Resale
475,2,Apartment,West Pioneer Metro Grande,941,37.0,Eastern Suburbs,Ready to move,Resale
517,2,Apartment,Platinum Sai Sangam,1227,91.0,Navi Mumbai & Beyond,Ready to move,Resale
518,3,Apartment,Krishna Paradise,1152,88.0,Navi Mumbai & Beyond,Ready to move,Resale
519,4,Apartment,Lodha Palava Lakeshore Greens,1135,62.0,Outskirts,Ready to move,Resale
521,1,Apartment,Swagat Builders Damodar Park Apartment,580,80.0,Eastern Suburbs,Ready to move,Resale
522,1,Apartment,Lak And Hanware The Residency Tower,420,100.0,Central Mumbai,Ready to move,Resale
525,1,Apartment,JP Atria,500,77.0,Outskirts,Ready to move,Resale
530,1,Apartment,Sarvoday Onyx,685,45.0,Eastern Suburbs,Ready to move,Resale
534,3,Apartment,Neelam Sanskar,1980,175.0,Eastern Suburbs,Ready to move,Resale
535,3,Apartment,Hiranandani Gardens Lake Castle,1750,575.0,Central Mumbai,Ready to move,Resale
536,1,Apartment,Kalpsutra Vatsalya,650,27.62,Navi Mumbai & Beyond,Ready to move,Resale
537,2,Apartment,Green Earth Developers Green Heights,1000,68.5,Navi Mumbai & Beyond,Ready to move,Resale
541,2,Apartment,Regency Regency Heights,1265,155.0,Outskirts,Ready to move,Resale
543,1,Apartment,Reputed Builder Suraj Complex,625,21.9,Eastern Suburbs,Ready to move,Resale
544,3,Apartment,Hiranandani Estate Hill Grange,1350,210.0,Outskirts,Ready to move,Resale
548,1,Apartment,Kesar Gardens,770,42.0,Navi Mumbai & Beyond,Ready to move,Resale
550,3,Apartment,Runwal The Orchard Residency,1360,270.0,Eastern Suburbs,Ready to move,Resale
552,2,Apartment,Reliance Tilak Nagar Nisarg Co Op Hsg Soc Ltd,1100,199.0,Eastern Suburbs,Ready to move,Resale
555,2,Apartment,Unique Aurum,1090,115.99999999999999,Outskirts,Ready to move,Resale
561,2,Apartment,Krishna Paradise,1152,84.0,Navi Mumbai & Beyond,Ready to move,Resale
563,2,Apartment,Puraniks Rumah Bali,672,103.0,Outskirts,Ready to move,New
564,1,Apartment,Puraniks Rumah Bali,330,49.98,Outskirts,Ready to move,New
565,1,Apartment,Puraniks Rumah Bali,343,51.95,Outskirts,Ready to move,New
566,2,Apartment,Puraniks Rumah Bali,659,101.0,Outskirts,Ready to move,New
567,2,Apartment,Puraniks Rumah Bali,489,74.98,Outskirts,Ready to move,New
568,2,Apartment,Puraniks Rumah Bali,505,77.44,Outskirts,Ready to move,New
571,3,Apartment,Rashmi Garden,875,50.0,Navi Mumbai & Beyond,Ready to move,Resale
573,1,Apartment,Prayag Meadows Phase 1,650,38.0,Navi Mumbai & Beyond,Ready to move,Resale
574,2,Apartment,Tulsi Sonata,1145,75.0,Navi Mumbai & Beyond,Ready to move,Resale
576,3,Apartment,K Raheja Eastate,1300,319.0,Western Suburbs,Ready to move,Resale
577,1,Apartment,Khatri Grande,670,26.5,Outskirts,Ready to move,Resale
578,2,Apartment,Bhagwati Greens 1,1150,59.0,Navi Mumbai & Beyond,Ready to move,Resale
582,5,Apartment,Swaraj Homes Yogniti Apartment,2920,1200.0,Central Mumbai,Ready to move,Resale
583,2,Apartment,Lodha Palava Lakeshore Greens,980,45.97,Outskirts,Ready to move,Resale
584,2,Apartment,Platinum Balaji Kalash,1150,175.0,Outskirts,Ready to move,Resale
585,2,Apartment,Marathon Galaxy,978,190.0,Eastern Suburbs,Ready to move,Resale
596,1,Apartment,Reputed Builder Arjuna Park CHS,750,84.0,Outskirts,Ready to move,Resale
597,1,Apartment,Runwal Forest Tower 1 To 4,650,134.0,Eastern Suburbs,Ready to move,Resale
598,2,Apartment,Lodha Casa Rio,964,54.5,Outskirts,Ready to move,Resale
601,1,Apartment,Joshi Shivamrit Complex,650,39.0,Navi Mumbai & Beyond,Ready to move,Resale
602,2,Apartment,N Rose Northern Heights,425,21.54,Outskirts,Ready to move,Resale
607,3,Apartment,Evershine Sapphire,1655,254.99999999999997,Central Mumbai,Ready to move,Resale
608,1,Apartment,Vishrut Casablanca,512,65.0,Navi Mumbai & Beyond,Ready to move,Resale
610,2,Apartment,Reputed Builder Flight View,854,155.0,Central Mumbai,Ready to move,Resale
611,2,Apartment,Godrej Hill,830,56.61,Eastern Suburbs,Ready to move,Resale
612,1,Apartment,Reputed Builder Vraj Villa,540,100.0,Eastern Suburbs,Ready to move,Resale
613,2,Apartment,Atul Blue Orbit Phase 3,1080,190.0,Western Suburbs,Ready to move,Resale
615,2,Apartment,Ekta WestBay,790,375.0,Western Suburbs,Ready to move,Resale
616,1,Apartment,Reputed Builder Sai Pratik CHS,660,71.0,Navi Mumbai & Beyond,Ready to move,Resale
620,2,Apartment,Arkade Art,1230,135.0,Outskirts,Ready to move,Resale
622,1,Apartment,Sethia Green View,600,95.0,Western Suburbs,Ready to move,Resale
623,2,Apartment,Reputed Builder Karma Apartment,850,59.5,Navi Mumbai & Beyond,Ready to move,Resale
624,1,Apartment,Raja Tirupati Balaji Towers,600,235.0,Central Mumbai,Ready to move,Resale
625,1,Apartment,Reputed Builder Samarpan Complex Arpan,395,55.99,Outskirts,Ready to move,Resale
626,1,Apartment,Jem Jupiter Complex,496,15.0,Navi Mumbai & Beyond,Ready to move,Resale
629,3,Apartment,Raj Mandir Complex,1090,110.00000000000001,Outskirts,Ready to move,Resale
630,2,Apartment,SA Sneh Kutir,658,130.0,Central Mumbai,Ready to move,Resale
633,3,Apartment,Ozone The Gateway,1800,360.0,Central Mumbai,Ready to move,Resale
634,2,Apartment,Cidco NRI Complex,1250,89.0,Navi Mumbai & Beyond,Ready to move,Resale
635,1,Apartment,Neminath Sahnivas CHSL And Prabhat CHSL Building No 1 And 2,800,55.0,Central Mumbai,Ready to move,Resale
636,2,Apartment,Sahabhagi Riva Rythm,528,24.19,Outskirts,Ready to move,New
638,1,Apartment,Sahabhagi Riva Rythm,276,14.0,Outskirts,Ready to move,New
644,2,Apartment,Reputed Builder Arihant Darshan,870,145.0,Western Suburbs,Ready to move,Resale
645,1,Apartment,Veena Sitar,464,125.0,Western Suburbs,Ready to move,Resale
647,1,Apartment,Shree Yogeshwar Yogeshwar Park,600,21.0,Outskirts,Ready to move,Resale
648,1,Apartment,Reputed Builder Sunder Tower,500,130.0,Outskirts,Ready to move,Resale
649,1,Apartment,Panvelkar Aquamarine,638,25.5,Outskirts,Ready to move,Resale
650,2,Apartment,Shree Yogeshwar Yogeshwar Park,700,25.0,Outskirts,Ready to move,Resale
651,1,Apartment,Ekdanta 24 Karat,780,85.0,Eastern Suburbs,Ready to move,Resale
652,1,Apartment,Shree Saibaba Grihanirmiti Neelambari,650,75.9,Outskirts,Ready to move,Resale
653,1,Apartment,Ravriya Neelkanth Aangan,610,52.0,Navi Mumbai & Beyond,Ready to move,Resale
657,1,Apartment,Chintamani Maple City Phase I,640,23.0,Outskirts,Ready to move,Resale
666,2,Apartment,Swastik Heights,1075,51.0,Outskirts,Ready to move,Resale
669,1,Apartment,Reputed Builder Wild Wood Park 2,650,200.0,Central Mumbai,Ready to move,Resale
670,3,Apartment,Reputed Builder EL-Dorado,1925,900.0,Central Mumbai,Ready to move,Resale
671,1,Apartment,Moraj Moraj Maa Smriti,630,25.0,Navi Mumbai & Beyond,Ready to move,Resale
673,1,Apartment,Tejas Builders and Developers Vastupurti,729,41.0,Navi Mumbai & Beyond,Ready to move,Resale
675,2,Apartment,Reputed Builder Saket Towers,1037,130.0,Outskirts,Ready to move,Resale
680,2,Apartment,Enso Enso Sanza,670,105.0,Western Suburbs,Ready to move,Resale
691,2,Apartment,Tata New Haven,670,18.0,Navi Mumbai & Beyond,Ready to move,Resale
692,1,Apartment,Tejas Builders and Developers Vastupurti,729,42.0,Navi Mumbai & Beyond,Ready to move,Resale
711,2,Apartment,Gurukrupa Marina Enclave M N Phase ll,900,160.0,Western Suburbs,Ready to move,Resale
712,1,Apartment,Trimurti Shiv Krupa Residency,602,34.0,Navi Mumbai & Beyond,Ready to move,Resale
713,1,Apartment,Reputed Builder 1 Row House,1111,111.00000000000001,Western Suburbs,Ready to move,Resale
714,4,Apartment,PR Urvashi Terraces,2000,1200.0,Central Mumbai,Ready to move,Resale
718,1,Apartment,Ashiana LA Arihant Harmony,400,12.5,Outskirts,Ready to move,Resale
729,3,Apartment,Indiabulls Sky,3300,1200.0,Central Mumbai,Ready to move,Resale
731,2,Apartment,Gami Amar Harmony,1134,75.0,Navi Mumbai & Beyond,Ready to move,Resale
734,2,Apartment,Jyoti Developers Meadow,715,165.0,Central Mumbai,Ready to move,Resale
742,4,Apartment,Evershine Classique,1700,87.0,Navi Mumbai & Beyond,Ready to move,Resale
743,1,Apartment,Reputed Builder Vijay Apartment,550,25.0,Outskirts,Ready to move,Resale
744,2,Apartment,Reputed Builder Dhiraj Apartment,660,160.0,Eastern Suburbs,Ready to move,Resale
745,2,Apartment,Reputed Builder Shiv Jyoti,850,225.0,Central Mumbai,Ready to move,Resale
749,2,Apartment,Raj Nirvana,1380,55.0,Outskirts,Ready to move,Resale
758,1,Apartment,Dosti Dosti P180,672,50.0,Outskirts,Ready to move,Resale
777,1,Apartment,Mantri Serene,700,89.0,Western Suburbs,Ready to move,Resale
786,2,Apartment,Drushti Varun,770,180.0,Eastern Suburbs,Ready to move,Resale
807,2,Apartment,Vishesh Balaji Symphony ,1005,82.0,Navi Mumbai & Beyond,Ready to move,Resale
810,2,Apartment,Rishabraj Nemi Elegance,771,175.0,Western Suburbs,Ready to move,Resale
833,1,Apartment,Shilpriya Silicon Enclave,800,135.0,Eastern Suburbs,Ready to move,Resale
847,3,Apartment,Hubtown Ackruti Astha,2250,1300.0,Central Mumbai,Ready to move,Resale
868,1,Apartment,Konnark Gardens,670,28.0,Navi Mumbai & Beyond,Ready to move,Resale
900,2,Apartment,Shreeji Thakare Complex,775,27.0,Outskirts,Ready to move,Resale
912,1,Apartment,Vakratunda Palace,575,97.0,Eastern Suburbs,Ready to move,Resale
922,3,Apartment,HDIL Residency Park,1115,66.0,Outskirts,Ready to move,Resale
925,2,Apartment,Swaraj Homes Dombivali Rahivashi Apartment,750,56.0,Outskirts,Ready to move,Resale
937,1,Apartment,Reputed Builder Shree Ambika Apartment,765,92.0,Navi Mumbai & Beyond,Ready to move,Resale
948,2,Apartment,Gurukrupa Primus Residences,1150,261.0,Central Mumbai,Ready to move,Resale
952,3,Apartment,Swaraj Homes Mumbai Gruh Nirman CHS,2000,175.0,Central Mumbai,Ready to move,Resale
954,2,Apartment,Swaraj Homes Mumbai Gruh Nirman CHS,3000,200.0,Central Mumbai,Ready to move,Resale
958,2,Apartment,Shiv Residency,1150,60.0,Outskirts,Ready to move,Resale
959,3,Apartment,Tata New Haven,1200,39.9,Navi Mumbai & Beyond,Ready to move,Resale
974,1,Apartment,Mateshwari Regency,620,24.0,Outskirts,Ready to move,Resale
980,3,Apartment,Shiv Darshan Shiv Darshan Society,880,185.0,Eastern Suburbs,Ready to move,Resale
1006,2,Apartment,Rachana Yash Enclave,950,77.5,Outskirts,Ready to move,Resale
1008,1,Apartment,Space India Greens,485,18.95,Navi Mumbai & Beyond,Ready to move,Resale
1013,1,Apartment,Sai Deep Heights,590,28.75,Outskirts,Ready to move,Resale
1019,2,Apartment,Bhagwati Greens 1,1270,49.0,Navi Mumbai & Beyond,Ready to move,Resale
1030,1,Apartment,Qualitas QN Greens Phase 1,340,24.58,Navi Mumbai & Beyond,Ready to move,New
1031,1,Apartment,Qualitas QN Greens Phase 1,447,32.32,Navi Mumbai & Beyond,Ready to move,New
1040,3,Apartment,Gajra Mahavir Chhaya CHS,1380,370.0,Eastern Suburbs,Ready to move,Resale
1042,1,Apartment,Ramji Hari Minat Naagraj Classic,600,34.85,Navi Mumbai & Beyond,Ready to move,New
1043,1,Apartment,Ramji Hari Minat Naagraj Classic,615,34.31,Navi Mumbai & Beyond,Ready to move,New
1045,1,Apartment,Ramji Hari Minat Naagraj Classic,600,34.5,Navi Mumbai & Beyond,Ready to move,New
1047,4,Apartment,Runwal Runwal Greens Wing 5 To 8,2500,500.0,Eastern Suburbs,Ready to move,Resale
1049,2,Apartment,Raj Rudraksha Building No 10,624,114.99999999999999,Outskirts,Ready to move,New
1050,1,Apartment,Lodha Mira Road Project 1,750,80.0,Outskirts,Ready to move,Resale
1054,2,Apartment,Nahar Cayenne,1020,229.99999999999997,Central Mumbai,Ready to move,Resale
1057,1,Apartment,Ramji Hari Minat Naagraj Classic,600,34.77,Navi Mumbai & Beyond,Ready to move,New
1058,1,Apartment,Ramji Hari Minat Naagraj Classic,600,34.38,Navi Mumbai & Beyond,Ready to move,New
1061,2,Apartment,Westin Eksar Gurukripa CHS LTD,611,177.0,Western Suburbs,Ready to move,Resale
1062,2,Apartment,Krishna Pratima,558,160.0,Western Suburbs,Ready to move,Resale
1069,1,Apartment,Happy Gagangiri Vihar,615,23.3,Navi Mumbai & Beyond,Ready to move,New
1070,2,Apartment,Sheth Avalon,1100,185.0,Outskirts,Ready to move,Resale
1071,2,Apartment,Natu Ozone Valley,853,99.0,Outskirts,Ready to move,New
1076,2,Apartment,Leena Bhairav Residency,1155,87.85,Outskirts,Ready to move,Resale
1080,2,Apartment,Sarthak Homes,820,28.62,Outskirts,Ready to move,New
1084,3,Apartment,Neelkanth Palms,1400,200.0,Outskirts,Ready to move,Resale
1090,1,Apartment,SK Imperial Heights,623,56.0,Outskirts,Ready to move,New
1091,2,Apartment,Strawberry Onyx,733,85.0,Outskirts,Ready to move,New
1092,2,Apartment,Tanvi Eminence I,970,85.0,Outskirts,Ready to move,Resale
1095,2,Apartment,Dignity Divine,1283,260.0,Central Mumbai,Ready to move,New
1096,2,Apartment,Siddhi Highland Gardens,799,119.0,Outskirts,Ready to move,Resale
1097,2,Apartment,Siddhi Highland Haven,960,108.0,Outskirts,Ready to move,Resale
1098,1,Apartment,Siddhi Highland Park,650,79.0,Outskirts,Ready to move,Resale
1101,2,Apartment,RNA NG NG Diamond Hill B Phase I,999,87.0,Outskirts,Ready to move,New
1103,1,Apartment,JK IRIS,769,63.0,Outskirts,Ready to move,New
1104,1,Apartment,Strawberry Onyx,553,59.0,Outskirts,Ready to move,New
1105,1,Apartment,JK IRIS,666,63.0,Outskirts,Ready to move,New
1127,2,Apartment,Ravi Shubh Atika,1048,81.8,Outskirts,Ready to move,Resale
1128,3,Apartment,Nahar Amrit Shakti,1545,315.0,Central Mumbai,Ready to move,Resale
1129,1,Apartment,JVM Pearl,650,56.0,Outskirts,Ready to move,Resale
1130,1,Apartment,Laabh Pehla Ghar Shubh Sanket Complex,450,44.0,Outskirts,Ready to move,Resale
1131,1,Apartment,Vihang Valley,650,61.0,Outskirts,Ready to move,Resale
1132,3,Apartment,ACME Oasis ,1040,215.0,Western Suburbs,Ready to move,Resale
1141,1,Apartment,Mane Park View,645,38.0,Navi Mumbai & Beyond,Ready to move,Resale
1146,2,Apartment,Ashtavinayak Developer Ashtavinayak Everest Heights,1050,65.0,Outskirts,Ready to move,Resale
1148,1,Apartment,Tanvi Eminence I,782,62.0,Outskirts,Ready to move,Resale
1149,2,Apartment,Unique Ivana,820,82.01,Outskirts,Ready to move,New
1151,2,Apartment,SKD Pinnacolo And Pinnacolo NX,867,88.0,Outskirts,Ready to move,New
1153,2,Apartment,MICL Aradhya D And E Tower,850,109.00000000000001,Outskirts,Ready to move,Resale
1154,1,Apartment,MICL Aaradhya Highpark,616,69.0,Outskirts,Ready to move,Resale
1160,1,Apartment,Reputed Builder Daulat Shirin,650,225.0,Central Mumbai,Ready to move,Resale
1163,2,Apartment,Sanghvi Ecocity,1055,84.56,Outskirts,Ready to move,New
1164,1,Apartment,SK Imperial Heights,674,63.1,Outskirts,Ready to move,New
1165,2,Apartment,Happy Home Residency,950,81.22,Outskirts,Ready to move,New
1166,2,Apartment,RNA NG N G Valencia Phase I,999,83.41,Outskirts,Ready to move,New
1175,1,Apartment,Salasar Woods,747,65.21,Outskirts,Ready to move,New
1176,2,Apartment,Swagat Heights,1020,78.74,Outskirts,Ready to move,New
1177,2,Apartment,Raj Florenza,1025,91.22,Outskirts,Ready to move,New
1179,2,Apartment,JK IRIS,1137,79.0,Outskirts,Ready to move,New
1188,1,Apartment,Kakad Paradise Phase 2,652,65.0,Outskirts,Ready to move,New
1221,2,Apartment,Sanghvi S3 Skyrise,912,84.0,Outskirts,Ready to move,New
1226,1,Apartment,Shree Ramdev Heights,575,67.0,Outskirts,Ready to move,Resale
1227,2,Apartment,Shree Ramdev Heights,816,92.0,Outskirts,Ready to move,Resale
1228,3,Apartment,Ashish Samriddhi,1144,152.0,Outskirts,Ready to move,New
1234,1,Apartment,Usha Radhe Krishna Park,600,24.8,Outskirts,Ready to move,New
1235,1,Apartment,H G Shivoham,443,135.0,Central Mumbai,Ready to move,New
1236,2,Apartment,Lodha Codename Crown Jewel,840,100.0,Outskirts,Ready to move,Resale
1237,2,Apartment,Siddhi Highland Gardens,790,119.0,Outskirts,Ready to move,Resale
1238,2,Apartment,Lodha Codename Crown Jewel,680,88.0,Outskirts,Ready to move,Resale
1239,2,Apartment,Lodha Codename Crown Jewel,760,105.0,Outskirts,Ready to move,Resale
1240,2,Apartment,Lodha Codename Crown Jewel,760,104.0,Outskirts,Ready to move,Resale
1241,1,Apartment,Lodha Amara 3 Bhk With Deck,667,70.0,Outskirts,Ready to move,Resale
1242,1,Apartment,Lodha Amara Tower 26 27 28 30 34 35,667,70.0,Outskirts,Ready to move,Resale
1244,2,Apartment,Hiranandani One Hiranandani Park,680,165.0,Outskirts,Ready to move,Resale
1245,2,Apartment,Dosti West County Oak,698,84.0,Outskirts,Ready to move,Resale
1246,2,Apartment,Wadhwa Solitaire,850,114.99999999999999,Outskirts,Ready to move,Resale
1247,3,Apartment,Lodha Codename Crown Jewel,1070,140.0,Outskirts,Ready to move,Resale
1249,2,Apartment,Reputed Builder Krishna Residency,890,175.0,Western Suburbs,Ready to move,Resale
1250,1,Apartment,Nisarg Greens,750,35.0,Outskirts,Ready to move,New
1251,2,Apartment,Mahindra The Great Eastern Gardens,830,242.0,Eastern Suburbs,Ready to move,Resale
1252,3,Apartment,Lodha Luxuria,1845,235.0,Outskirts,Ready to move,Resale
1253,3,Apartment,Lodha Luxuria,1845,237.0,Outskirts,Ready to move,Resale
1255,1,Apartment,PNK Poonam Sagar Complex,610,65.0,Outskirts,Ready to move,Resale
1256,2,Apartment,Reliance Residency NX,1050,40.0,Outskirts,Ready to move,Resale
1260,2,Apartment,Kalpataru Sunrise,750,90.0,Outskirts,Ready to move,Resale
1261,3,Apartment,Kaul Enterprises Heritage City,1300,85.0,Navi Mumbai & Beyond,Ready to move,Resale
1262,2,Apartment,Larkins Pride Palms,810,120.0,Outskirts,Ready to move,Resale
1263,2,Apartment,Chamunda Kesar Paradise,1250,180.0,Outskirts,Ready to move,Resale
1264,3,Apartment,Hiranandani Hiranandani Gardens,1600,425.0,Central Mumbai,Ready to move,Resale
1265,3,Apartment,Hiranandani Hiranandani Gardens,1600,475.0,Central Mumbai,Ready to move,Resale
1266,3,Apartment,Hiranandani Hiranandani Gardens,1650,450.0,Central Mumbai,Ready to move,Resale
1271,1,Apartment,PNK Poonam Sagar Complex,610,55.0,Outskirts,Ready to move,Resale
1272,2,Apartment,Hubtown Akruti Gardenia,750,88.0,Outskirts,Ready to move,Resale
