,bhk,type,locality,area,price,region,status,age
39656,2,Apartment,Dosti Imperia,1220,155.0,Outskirts,Ready to move,Resale
39657,2,Apartment,Siddhi Highland Park,986,107.0,Outskirts,Ready to move,Resale
39658,1,Apartment,Siddhi Highland Park,654,74.0,Outskirts,Ready to move,Resale
39659,1,Apartment,Velocity Hill Spring,650,72.0,Outskirts,Ready to move,Resale
39660,1,Apartment,Velocity Hill Spring,685,71.5,Outskirts,Ready to move,Resale
39661,1,Apartment,Gaurav Sai Charan Residency,760,68.0,Outskirts,Ready to move,Resale
39662,1,Apartment,Agarwal Agarwal Exotica,600,40.0,Navi Mumbai & Beyond,Ready to move,New
39663,3,Apartment,Reputed Builder Moroccan Cooperative,1862,170.0,Western Suburbs,Ready to move,Resale
39671,1,Apartment,Reputed Builder Shraddha Suman,637,29.93,Western Suburbs,Ready to move,New
39677,2,Apartment,Neelyog Virat,846,132.0,Western Suburbs,Ready to move,New
39678,2,Apartment,Om Sai Chembur Jeevan Deep CHSL,1300,215.0,Eastern Suburbs,Ready to move,Resale
39705,1,Apartment,Reputed Builder Madhuban CHS,715,90.0,Western Suburbs,Ready to move,Resale
39706,1,Apartment,Reputed Builder Mercury Tower,600,85.0,Navi Mumbai & Beyond,Ready to move,Resale
39710,1,Apartment,Bhoomi Acropolis 2,820,38.5,Outskirts,Ready to move,Resale
39711,1,Apartment, Silicon Park,700,80.99,Western Suburbs,Ready to move,Resale
39712,2,Apartment, Silicon Park,1000,125.0,Western Suburbs,Ready to move,Resale
39717,2,Apartment,Balaji Enclave,700,120.0,Western Suburbs,Ready to move,New
39718,2,Apartment,Balaji Enclave,1000,155.0,Western Suburbs,Ready to move,New
39722,2,Apartment,Eshaan Kanjur Matruchhaya CHSL,800,135.0,Eastern Suburbs,Ready to move,Resale
39724,2,Apartment,Shiv Shakti Shrushti Complex,640,38.0,Navi Mumbai & Beyond,Ready to move,Resale
39725,3,Apartment,Reputed Builder Nandini Apartment,1330,350.0,Central Mumbai,Ready to move,Resale
39726,2,Apartment,Reputed Builder Vrindavan Society,745,91.0,Outskirts,Ready to move,Resale
39728,1,Apartment,UK Iridium,534,77.5,Western Suburbs,Ready to move,New
39740,1,Apartment,Reputed Builder Kiran Towers,600,114.99999999999999,Western Suburbs,Ready to move,Resale
39741,3,Apartment,Parsn Kurla Sahayog CHS Ltd Bldg No 68,1173,175.0,Eastern Suburbs,Ready to move,Resale
39743,2,Apartment,Royal Palms Island II,840,71.0,Western Suburbs,Ready to move,Resale
39746,3,Apartment,Morya Morya Crystal,1200,340.0,Central Mumbai,Ready to move,Resale
39752,3,Apartment,DB Woods,1850,360.0,Western Suburbs,Ready to move,New
39753,4,Apartment,DB Woods,3200,650.0,Western Suburbs,Ready to move,New
39754,3,Apartment,Pride Park Royale,1850,270.0,Central Mumbai,Ready to move,New
39755,3,Apartment,Pride Park Royale,1650,235.0,Central Mumbai,Ready to move,New
39758,3,Apartment,Mahindra The Great Eastern Gardens,1600,320.0,Eastern Suburbs,Ready to move,Resale
39763,4,Apartment,Reputed Builder White Rose Apartment,1800,1190.0,Central Mumbai,Ready to move,Resale
39764,4,Apartment,PR Urvashi Terraces,2000,1250.0,Central Mumbai,Ready to move,Resale
39765,3,Apartment,Reputed Builder Moroccan Cooperative,1862,190.0,Western Suburbs,Ready to move,Resale
39801,3,Apartment,JP Decks,3250,450.0,Western Suburbs,Ready to move,New
39805,3,Apartment,RNA NG Eclat,1850,380.0,Central Mumbai,Ready to move,New
39806,2,Apartment,RNA NG Eclat,1450,285.0,Central Mumbai,Ready to move,New
39807,2,Apartment,Rashi Tower,1090,168.0,Western Suburbs,Ready to move,New
39811,2,Apartment,Pride Park Royale,1150,190.0,Central Mumbai,Ready to move,New
39812,3,Apartment,Pride Park Royale,1600,240.0,Central Mumbai,Ready to move,New
39813,3,Apartment,Pride Park Royale,1850,260.0,Central Mumbai,Ready to move,New
39814,4,Apartment,Reputed Builder Adani Western Heights,3200,680.0,Central Mumbai,Ready to move,New
39815,2,Apartment,Sheth Vasant Oasis,1450,210.0,Central Mumbai,Ready to move,New
39816,3,Apartment,Sheth Vasant Oasis,1650,238.0,Central Mumbai,Ready to move,New
39817,4,Apartment,Runwal Elegante,3250,590.0,Central Mumbai,Ready to move,New
39818,4,Apartment,Sheth Vasant Oasis,3250,500.0,Central Mumbai,Ready to move,New
39821,3,Apartment,Peninsula Celestia Spaces,1208,399.0,Outskirts,Ready to move,New
39823,2,Apartment,Peninsula Celestia Spaces,841,299.0,Outskirts,Ready to move,New
39824,3,Apartment,Peninsula Celestia Spaces,1413,466.0,Outskirts,Ready to move,New
39828,3,Apartment,Wadhwa Atmosphere Phase 1,1100,229.99999999999997,Eastern Suburbs,Ready to move,Resale
39831,4,Apartment,Windsor Grande Residences,3000,1200.0,Central Mumbai,Ready to move,New
39833,1,Apartment,Solitaire Height,740,100.0,Western Suburbs,Ready to move,New
39834,2,Apartment,Kalpataru Yugdharma,1250,275.0,Western Suburbs,Ready to move,Resale
39835,3,Apartment,Darvesh Darvesh Horizon,1285,109.00000000000001,Outskirts,Ready to move,Resale
39836,3,Apartment,Lashkaria Green Height,1792,300.0,Central Mumbai,Ready to move,Resale
39837,2,Apartment,Kabra Centroid A,1120,249.00000000000003,Central Mumbai,Ready to move,New
39838,1,Apartment,RNA NG N G Vibrancy Phase I,787,60.0,Outskirts,Ready to move,New
39839,3,Apartment,Bhoomi Ekta Garden Phase 1 and 2,1250,190.0,Western Suburbs,Ready to move,Resale
39840,4,Apartment,Sethia Grandeur,2200,560.0,Western Suburbs,Ready to move,Resale
39858,2,Apartment,JK IRIS,984,95.0,Outskirts,Ready to move,New
39862,2,Apartment,JP North Barcelona,1188,91.0,Outskirts,Ready to move,New
39864,1,Apartment,JP North Barcelona,837,60.5,Outskirts,Ready to move,New
39865,2,Apartment,Reputed Builder Manas Anand,918,91.0,Outskirts,Ready to move,Resale
39890,3,Apartment,Aristo Pearl Residency,1840,550.0,Central Mumbai,Ready to move,Resale
39895,2,Apartment,Midas Bhoomi Harmony,984,142.0,Eastern Suburbs,Ready to move,New
39896,2,Apartment,Midas Bhoomi Harmony,984,141.0,Eastern Suburbs,Ready to move,New
39897,3,Apartment,Kanakia Levels,1850,320.0,Western Suburbs,Ready to move,New
39898,3,Apartment,Satellite Satellite Tower,1850,310.0,Western Suburbs,Ready to move,New
39899,1,Apartment,Sheth Vasant Oasis,1450,204.99999999999997,Central Mumbai,Ready to move,New
39904,3,Apartment,RNA NG Eclat,1850,390.0,Central Mumbai,Ready to move,New
39906,3,Apartment,CCI Rivali Park WinterGreen,1850,325.0,Western Suburbs,Ready to move,New
39907,2,Apartment,CCI Rivali Park WinterGreen,1450,229.99999999999997,Western Suburbs,Ready to move,New
39908,2,Apartment,Hiranandani Castle Rock C And D Wing,1200,320.0,Central Mumbai,Ready to move,Resale
39909,1,Apartment,Reputed Builder Dolphin,590,70.0,Central Mumbai,Ready to move,Resale
39916,2,Apartment,Reputed Builder Laxmi CHS,1100,120.0,Central Mumbai,Ready to move,Resale
39917,2,Apartment,Reputed Builder Laxmi CHS,1000,100.0,Central Mumbai,Ready to move,Resale
39918,1,Apartment,VM Mohan Pride,719,74.0,Navi Mumbai & Beyond,Ready to move,Resale
39919,1,Apartment,Reputed Builder Laxmi CHS,650,70.0,Central Mumbai,Ready to move,Resale
39920,2,Apartment,Om Prabhu Manohar CHS,1100,135.0,Navi Mumbai & Beyond,Ready to move,Resale
39924,2,Apartment,Reputed Builder Sankalp 1,850,128.0,Western Suburbs,Ready to move,Resale
39925,2,Apartment,K Raheja Raheja Residency,1346,185.0,Western Suburbs,Ready to move,New
39930,2,Apartment,S R Residency,920,45.0,Navi Mumbai & Beyond,Ready to move,Resale
39933,3,Apartment,Rizvi Utopia,1650,190.0,Central Mumbai,Ready to move,New
39935,2,Apartment,Rashi Tower,1090,155.0,Western Suburbs,Ready to move,New
39936,3,Apartment,RNA NG Eclat,1850,350.0,Central Mumbai,Ready to move,New
39937,2,Apartment,Reputed Builder Vraj Green Vally,958,94.12,Outskirts,Ready to move,Resale
39938,2,Apartment,Tharwani Rosewood Heights,1145,120.0,Navi Mumbai & Beyond,Ready to move,Resale
39940,3,Apartment,Cosmos Horizon,980,165.0,Outskirts,Ready to move,New
39941,2,Apartment,Reputed Builder Shreya Anand,701,72.5,Outskirts,Ready to move,Resale
39942,2,Apartment,Everest World Phase 3,954,98.0,Outskirts,Ready to move,Resale
39943,1,Apartment,Reputed Builder Kalpavriksha Garden CHS,596,66.0,Outskirts,Ready to move,Resale
39944,2,Apartment,Terraform Everest World,874,87.5,Outskirts,Ready to move,Resale
39950,2,Apartment,Runwal Elegante,1560,358.0,Central Mumbai,Ready to move,New
39951,3,Apartment,Runwal Elegante,2420,556.0,Central Mumbai,Ready to move,New
39952,5,Apartment,Runwal Elegante,3835,882.0,Central Mumbai,Ready to move,New
39953,2,Apartment,Runwal Elegante,1625,373.0,Central Mumbai,Ready to move,New
39954,4,Apartment,Runwal Elegante,2780,639.0,Central Mumbai,Ready to move,New
39955,3,Apartment,Runwal Elegante,2275,523.0,Central Mumbai,Ready to move,New
39956,3,Apartment,Runwal Elegante,2260,519.0,Central Mumbai,Ready to move,New
39957,3,Apartment,Runwal Elegante,1695,389.0,Central Mumbai,Ready to move,New
39958,3,Apartment,Runwal Elegante,1760,404.0,Central Mumbai,Ready to move,New
39959,4,Apartment,Runwal Elegante,3105,714.0,Central Mumbai,Ready to move,New
39960,3,Apartment,Runwal Elegante,2095,480.99999999999994,Central Mumbai,Ready to move,New
39961,4,Apartment,Runwal Elegante,3200,736.0,Central Mumbai,Ready to move,New
39962,3,Apartment,Runwal Elegante,2190,503.0,Central Mumbai,Ready to move,New
39963,4,Apartment,Runwal Elegante,2755,633.0,Central Mumbai,Ready to move,New
39964,3,Apartment,Runwal Elegante,2070,476.0,Central Mumbai,Ready to move,New
39965,4,Apartment,Runwal Elegante,2480,570.0,Central Mumbai,Ready to move,New
39975,1,Apartment,Bhoomi Hills,615,82.0,Western Suburbs,Ready to move,Resale
39977,2,Apartment,Subham Shreeji Dham,1100,130.0,Navi Mumbai & Beyond,Ready to move,Resale
39978,2,Apartment,Zire The Kollage,1349,329.0,Central Mumbai,Ready to move,New
39979,3,Apartment,Zire The Kollage,2179,532.0,Central Mumbai,Ready to move,New
39980,1,Apartment,Reputed Builder Chandralok Society,615,103.0,Eastern Suburbs,Ready to move,Resale
39982,4,Apartment,JP Decks,3250,420.0,Western Suburbs,Ready to move,New
39984,2,Apartment,Pride Park Royale,1250,182.0,Central Mumbai,Ready to move,New
39986,3,Apartment,Runwal Elegante,1850,348.0,Central Mumbai,Ready to move,New
39993,2,Apartment,Venkatesh Jyoti Breeze,1005,75.0,Outskirts,Ready to move,Resale
